"GEO_ID","NAME","H10_001N","H10_001NA","H10_002N","H10_002NA","H10_003N","H10_003NA","H10_004N","H10_004NA","H10_005N","H10_005NA","H10_006N","H10_006NA","H10_007N","H10_007NA","H10_008N","H10_008NA","H10_009N","H10_009NA","H10_010N","H10_010NA","H10_011N","H10_011NA","H10_012N","H10_012NA","H10_013N","H10_013NA","H10_014N","H10_014NA","H10_015N","H10_015NA","H10_016N","H10_016NA","H10_017N","H10_017NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Owner occupied:","Annotation of  !!Total:!!Owner occupied:"," !!Total:!!Owner occupied:!!Householder who is White alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is White alone"," !!Total:!!Owner occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Black or African American alone"," !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Owner occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Asian alone"," !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Owner occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Owner occupied:!!Householder who is Some Other Race alone"," !!Total:!!Owner occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Owner occupied:!!Householder who is Two or More Races"," !!Total:!!Renter occupied:","Annotation of  !!Total:!!Renter occupied:"," !!Total:!!Renter occupied:!!Householder who is White alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is White alone"," !!Total:!!Renter occupied:!!Householder who is Black or African American alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Black or African American alone"," !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is American Indian and Alaska Native alone"," !!Total:!!Renter occupied:!!Householder who is Asian alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Asian alone"," !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Renter occupied:!!Householder who is Some Other Race alone","Annotation of  !!Total:!!Renter occupied:!!Householder who is Some Other Race alone"," !!Total:!!Renter occupied:!!Householder who is Two or More Races","Annotation of  !!Total:!!Renter occupied:!!Householder who is Two or More Races",
"860Z200US62319","ZCTA5 62319","100","null","82","null","81","null","1","null","0","null","0","null","0","null","0","null","0","null","18","null","16","null","0","null","1","null","1","null","0","null","0","null","0","null",
"860Z200US62320","ZCTA5 62320","856","null","712","null","695","null","0","null","0","null","1","null","0","null","2","null","14","null","144","null","135","null","1","null","0","null","0","null","0","null","3","null","5","null",
"860Z200US62321","ZCTA5 62321","1677","null","1294","null","1253","null","0","null","3","null","3","null","1","null","4","null","30","null","383","null","341","null","0","null","0","null","2","null","0","null","15","null","25","null",
"860Z200US62323","ZCTA5 62323","84","null","75","null","73","null","0","null","0","null","0","null","0","null","1","null","1","null","9","null","9","null","0","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62324","ZCTA5 62324","531","null","423","null","407","null","0","null","0","null","0","null","0","null","0","null","16","null","108","null","102","null","2","null","0","null","0","null","0","null","0","null","4","null",
"860Z200US62325","ZCTA5 62325","149","null","134","null","129","null","0","null","0","null","1","null","0","null","1","null","3","null","15","null","14","null","0","null","0","null","0","null","0","null","1","null","0","null",
"860Z200US62326","ZCTA5 62326","994","null","806","null","787","null","0","null","0","null","1","null","0","null","3","null","15","null","188","null","174","null","1","null","1","null","0","null","0","null","1","null","11","null",
"860Z200US62330","ZCTA5 62330","704","null","577","null","563","null","3","null","0","null","1","null","0","null","1","null","9","null","127","null","118","null","3","null","0","null","0","null","0","null","0","null","6","null",
"860Z200US62334","ZCTA5 62334","71","null","60","null","58","null","0","null","1","null","0","null","0","null","0","null","1","null","11","null","11","null","0","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62336","ZCTA5 62336","41","null","36","null","35","null","0","null","0","null","0","null","0","null","0","null","1","null","5","null","4","null","0","null","1","null","0","null","0","null","0","null","0","null",
"860Z200US62338","ZCTA5 62338","552","null","517","null","502","null","0","null","0","null","0","null","0","null","3","null","12","null","35","null","32","null","1","null","0","null","0","null","0","null","0","null","2","null",
"860Z200US62339","ZCTA5 62339","333","null","267","null","261","null","0","null","0","null","2","null","0","null","0","null","4","null","66","null","58","null","1","null","2","null","0","null","1","null","2","null","2","null",
"860Z200US62340","ZCTA5 62340","638","null","486","null","468","null","1","null","2","null","0","null","0","null","2","null","13","null","152","null","144","null","0","null","0","null","0","null","0","null","1","null","7","null",
"860Z200US62341","ZCTA5 62341","1429","null","1133","null","1094","null","3","null","2","null","5","null","1","null","7","null","21","null","296","null","268","null","4","null","0","null","0","null","0","null","7","null","17","null",
"860Z200US62343","ZCTA5 62343","273","null","223","null","216","null","0","null","1","null","0","null","0","null","0","null","6","null","50","null","49","null","0","null","0","null","0","null","0","null","0","null","1","null",
"860Z200US62344","ZCTA5 62344","50","null","44","null","43","null","0","null","0","null","0","null","0","null","1","null","0","null","6","null","6","null","0","null","0","null","0","null","0","null","0","null","0","null",
"860Z200US62345","ZCTA5 62345","136","null","116","null","114","null","0","null","0","null","0","null","0","null","0","null","2","null","20","null","18","null","0","null","0","null","1","null","0","null","0","null","1","null",
"860Z200US62346","ZCTA5 62346","96","null","84","null","79","null","0","null","0","null","1","null","0","null","0","null","4","null","12","null","9","null","0","null","1","null","0","null","0","null","1","null","1","null",
"860Z200US62347","ZCTA5 62347","876","null","768","null","748","null","3","null","1","null","0","null","0","null","3","null","13","null","108","null","104","null","0","null","0","null","0","null","0","null","0","null","4","null",
"860Z200US62348","ZCTA5 62348","69","null","69","null","66","null","0","null","1","null","0","null","0","null","1","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
